Context	Key	Translation
	True if this bone is vital for your model(s)	あなたのモデルにとって必須なボーンの場合ONにしてください（未設定時に警告します）
	Categolize PMX bones for the bone selection panel	ボーン選択パネル上の整理のためにカテゴライズします
	All bones are set!	全ボーン設定済み！
	Rule based naming	ルールベースの名前設定
	Naming rules:	命名ルール：
O	Add naming rule	命名ルールを追加
	Add new naming rule for naming mmd_bone.name_j	mmd_bone.name_j に名前を設定するための命名ルールを追加します
O	Remove naming rule	命名ルールを削除
	Remove selected naming rule	選択中の命名ルールを削除します
	Search String	検索する文字列
	This rule works only on bones matches to this string	この文字列にマッチするボーンのみを対象に動作します
	Replace LR	LRを置き換え
	Convertr L/R identifier to prefix Hidari/Migi(Jp) or left/right(En)	左右識別子(.L/.Rなど)を前置詞「左/右」に置き換えます（英語名では"left/right"）
	Use Regex	正規表現を使用
	Use Regex for search/replace	検索と置き換えに正規表現を使用します
	Target name_e	name_eを対象
	Apply this rule for mmd_bone.name_e. Default: name_j	このルールを name_e（英語名）に適用します。デフォルトは name_j（日本語名）
O	Execute naming rules	命名ルールを実行
	On active armature(Object mode) or selected bones(Pose/Edit mode), execute rules to set mmd_bone.name_j	アクティブなアーマチュア（オブジェクトモード）もしくは選択ボーン（ポーズ/エディットモード）のmmd_bone.name_j に対し命名ルールに基づいて名前を設定します
O	Save naming rules	命名ルールを保存
	Save naming rules as json, for reusing in another workspace	再利用のため、命名ルールをjsonファイルに保存します
O	Load naming rules	命名ルールを読み込み
	Load naming rules from a json	命名ルールをjsonファイルから読み込みます
	Apply naming rules to set mmd_bone.name_j or mmd_bone.name_e	選択ボーンのうちボーン定義が設定されていないものに対し、命名ルールに基づき名前設定を実行します
	Run this O for all bones	全てのボーンを対象として実行します

O	Apply mmd_bone.name	MMDボーン名を適用
*	Apply mmd_bone.name_j or name_e to actual bone names on active armature (can be restored later)	アクティブなアーマチュアの実際のボーン名に mmd_bone.name_j または name_e を適用します（後で元に戻すことができます）
*	mmd_bone.name_j (Japanese)	mmd_bone.name_j（日本語）
*	'mmd_bone.name_e (English)	mmd_bone.name_e（英語）
*	Convert LR Identifiers	左右識別子を変換
*	Convert MMD's LR identifier to Blender .L/.R suffixes	MMDの左右識別子をBlenderの.L/.R接尾辞に変換します

O	Restore Bone Names	ボーン名を復元
*	Restore original bone names using stored original names on active armature	アクティブなアーマチュアの元のボーン名を復元します

*	Bone Settings Helper	ボーン設定ヘルパー
O	Set mmd_bone from CSV	mmd_boneをCSVから設定
	Configure mmd_bone properties from CSV data. Also creates mmd_bone_order_override object to sort bones in mmd_tools	CSVデータに基づいて mmd_bone のプロパティを設定します。また、mmd_tools内でボーンをソートするための mmd_bone_order_override オブジェクトを作成します

	Update MMD Bone	MMDボーンを更新
	Set mmd_bone properties from CSV data	CSVの内容に基づいて mmd_bone のプロパティを設定します
	Update MMD Bone Order	MMDボーン順序を更新
	Sort MMD Bones according to CSV bone order. It creates representative object [armature_name + '_bone_order'] to keep bone order for mmd_tools	CSVのボーン順序に従ってMMDボーンをソートします。mmd_tool用にボーン順序を保持する代表オブジェクト[armature_name + '_bone_order']を作成します

O	Set mmd_material from CSV	mmd_materialをCSVから設定
	Configure mmd_material and material/object sort order within the model from CSV file generated by PMX Editor	PMX Editorで生成されたCSVファイルから モデル内の mmd_material および マテリアル/オブジェクトの順番を設定します
	Update MMD Material	MMDマテリアルを更新
	Set mmd_material properties from CSV data	CSVの内容に基づいて mmd_material のプロパティを設定します
	Update Material Order	マテリアルの順番を更新
	Sort Materials and Objects according to CSV material order. Warning: It renames objects by adding prefix such as '001_'	マテリアルの順番に従ってマテリアルとオブジェクトをソートします。警告：オブジェクト名に「001_」などの接頭辞を付けます
	Join Objects Before Sort	ソート前にオブジェクトを結合
	Join objects within the model before sorting materials to get perfect order	マテリアルの順番を完璧にするため、ソート前にモデル内のオブジェクトを結合します
	Prevent Joining Objects with Modifiers	モディファイアを持つオブジェクトの結合を防ぐ
	Prevent joining objects with modifiers(except armature) to avoid data loss	データ損失を避けるため、モディファイアを持つオブジェクト（アーマチュアを除く）の結合を防ぎます

O	Quick Export PMX	PMXクイックエクスポート
	Export selected objects to PMX file. Use it for objects which not require complex processing before exporting	選択オブジェクトをPMXファイルにエクスポートします。エクスポート前に複雑な処理が必要ないオブジェクトに使用してください
	Hide Outline Modifiers	アウトラインモディファイアを非表示
	Temporarily hide outline modifiers while exporting (Outline modifiers: Solifiy with use_flip_normals)	エクスポート時にアウトラインモディファイアを一時的に非表示にします（アウトラインモディファイア：use_flip_normalsを使用したSolidify）

	CSV file format seems not generated by PMX_Editor.exe	このCSVファイルはPMX Editorで作られたものではないようです

	Mine Detector	地雷検出
	Detects flaws that harms export result	エクスポート結果に影響を与える問題を検出します
	MMD Bone Name Collision:	MMDボーン名の衝突：
	MMD Material Name Collision:	MMDマテリアル名の衝突：
	Object not belongs to the model:	モデルに属さないオブジェクト：
